1987	2012									
25										
1987	1988	1989	1990	1991	1992		1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
43600	116587	24002	187889	30547	176291		94736	97606	39545	89712	182333	69074	44973	189513	37049	40537	34147	10065	36500	42003	32956	34141	76704	312777.3723	47326.80539
6540	17488.05	3600.3	28183.35	4582.05	26443.65		14210.4	14640.9	5931.75	13456.8	27349.95	10361.1	6745.95	28426.95	5557.35	6080.55	5122.05	1509.75	5475	6300.45	4943.4	5121.15	11505.6	46916.60584	7099.020808
