"","x"
"DownUp_0.4_0.15_1",-0.0667679552516298
"DownUp_0.4_0.15_2",-0.0861619304220337
"DownUp_0.4_0.15_3",-0.0691583253750593
"DownUp_0.4_0.35_1",-0.146015266757804
"DownUp_0.4_0.35_2",-0.15639429513244
"DownUp_0.4_0.35_3",-0.201016140235376
"DownUp_0.8_0.15_1",-0.0705982298721663
"DownUp_0.8_0.15_2",-0.0584906121726718
"DownUp_0.8_0.15_3",-0.0539707470898575
"DownUp_0.8_0.35_1",-0.148348926832674
"DownUp_0.8_0.35_2",-0.19879344585677
"DownUp_0.8_0.35_3",-0.205836313202256
"flat_0.4_0.15_1",0.00198071727793398
"flat_0.4_0.15_2",-0.00527705278159373
"flat_0.4_0.15_3",-0.0240733778890304
"flat_0.4_0.35_1",-0.00610123422299033
"flat_0.4_0.35_2",-0.00754658132764433
"flat_0.4_0.35_3",-0.0126092123150556
"flat_0.8_0.15_1",-0.00421224153698451
"flat_0.8_0.15_2",-0.011178687912037
"flat_0.8_0.15_3",-0.0197164247057453
"flat_0.8_0.35_1",-0.0608104124162592
"flat_0.8_0.35_2",-0.0156011056842874
"flat_0.8_0.35_3",-0.0510786561831275
"UpDown_0.4_0.15_1",0.042090014805445
"UpDown_0.4_0.15_2",0.00493940759751087
"UpDown_0.4_0.15_3",0.0154728092791349
"UpDown_0.4_0.35_1",0.115272066714614
"UpDown_0.4_0.35_2",0.120304861698051
"UpDown_0.4_0.35_3",0.129618576176984
"UpDown_0.8_0.15_1",0.00593313968587752
"UpDown_0.8_0.15_2",-0.00799469800789913
"UpDown_0.8_0.15_3",0.0151441874540434
"UpDown_0.8_0.35_1",0.16680616844687
"UpDown_0.8_0.35_2",0.0633930777659366
"UpDown_0.8_0.35_3",0.0569066601423867
