#1960
#2013
# nyrs(i)
54
# yrs(i)
 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013
# biom(i)
 118.781 119.268 115.866 116.09 97.1873 128.427 112.896 118.691 158.619 119.582 150.745 178.588 167.077 190.027 144.927 189.084 133.469 142.207 195.246 236.099 198.004 163.653 265.171 197.492 305.118 264.323 274.07 291.51 260.974 348.613 323.596 287.421 415.386 464.653 482.325 417.313 415.314 397.748 373.377 267.799 441.656 508.757 489.072 318.572 409.948 375.462 369.087 404.98 343.097 428.829 415.528 329.538 251.643 249.098
# cv(i)
 0.131149 0.13305 0.143855 0.147017 0.138753 0.124624 0.144632 0.146974 0.131906 0.14589 0.121967 0.106832 0.124957 0.110612 0.151453 0.143568 0.185845 0.1786 0.156723 0.129728 0.183188 0.201885 0.138637 0.194095 0.122035 0.137716 0.155621 0.146077 0.190416 0.134219 0.155564 0.193561 0.153669 0.134155 0.125547 0.139336 0.154074 0.166345 0.154383 0.246771 0.115427 0.114192 0.108492 0.166586 0.117743 0.167784 0.161923 0.128145 0.172839 0.136325 0.13416 0.1703 0.181633 0.232209
#sd 
15.57800937	15.8686074	16.66790343	17.06720353	13.48502944	16.00508645	16.32837427	17.44449103	20.92279781	17.44581798	18.38591542	19.07891322	20.87744069	21.01926652	21.94962893	27.14641171	24.80454631	25.3981702	30.59953886	30.62865107	36.27195675	33.03908591	36.76251193	38.33220974	37.23507513	36.40150627	42.65104747	42.58290627	49.69362518	46.79048825	50.33988814	55.63349618	63.83195123	62.33552322	60.55445678	58.14672417	63.98908924	66.16339106	57.64306139	66.08502703	50.97902711	58.09597934	53.06039942	53.06963519	48.26850736	62.99651621	59.7636743	51.8961621	59.30054238	58.46011343	55.74723648	56.1203214	45.70667302	57.84279748
