1960
2020
#yrs(i)
 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013
#biom(i)
 2179.28 1410.39 1673.53 1846.47 2220.08 1877.27 2332.1 3608.31 4502.03 5206.27 6737.24 10101.1 9005.7 9776.79 9986.66 10524.2 12065.5 10081.2 12072.1 10044.5 9183.81 7809.56 5756.4 6353.38 7236.43 9919.56 14487.8 20140.9 19621.6 19674.9 14554.1 15106.3 15645.9 13085.2 14368.9 10648.8 12522 8078.41 7973.26 8429.15 13729.6 16136 11147.9 11075.4 12825.9 12504.2 12999.2 13952.5 11654.5 17688 15730.2 21534.1 25211.7 18995.7
#cv(i)
 0.142567 0.215224 0.171025 0.147765 0.124548 0.161579 0.14858 0.120093 0.144193 0.190755 0.204737 0.151597 0.159372 0.141458 0.155921 0.182303 0.172094 0.196334 0.148391 0.1638 0.164985 0.167889 0.190115 0.15277 0.139748 0.13503 0.131882 0.128937 0.150789 0.147011 0.181066 0.157094 0.143125 0.160251 0.132546 0.16169 0.125704 0.183172 0.187464 0.192975 0.13596 0.12716 0.190601 0.191638 0.163166 0.170167 0.166764 0.159899 0.197868 0.135291 0.160054 0.124787 0.117095 0.170453
